resume_text,skills,num_skills,years_experience,education,has_projects,has_certifications,num_sections,resume_score,role
"ACADEMIC BACKGROUND
Bachelors degree, relevant coursework in deep learning.

SKILLS
keras, computer vision, machine learning, tensorflow, deep learning, docker, nlp, sql

PROFESSIONAL EXPERIENCE
AI Engineer Intern, Acme Solutions (0.5 yrs)
- Assisted senior engineers with tasks involving keras and deep learning.
- Learned computer vision on the job through mentorship.","keras, computer vision, machine learning, tensorflow, deep learning, docker, nlp, sql",8,0.3,Bachelors,0,0,3,45.5,AI Engineer
"PROFILE
Motivated DevOps Engineer with hands-on experience in kubernetes, linux and monitoring. Built projects applying prometheus to solve real-world problems.

EDUCATION
Bachelors degree, relevant coursework in docker.

CORE COMPETENCIES
monitoring, linux, kubernetes, adobe xd, prometheus

ACADEMIC PROJECTS
Personal Portfolio System
Applied kubernetes to analyze data and linux to build the final solution, presenting results to peers.","monitoring, linux, kubernetes, adobe xd, prometheus",5,2.1,Bachelors,1,0,4,36.9,DevOps Engineer
"SUMMARY
Results-driven Backend Developer with 1.7 years of practical exposure to java and django. Enjoys solving problems with node.js.

EDUCATION
Bachelors degree, relevant coursework in redis.

TECHNICAL SKILLS
python, flask, node.js, java, django, sql

WORK EXPERIENCE
Backend Developer, BrightPath Labs (1.7 yrs)
- Built and maintained systems using java and django.
- Collaborated with a small team to ship features on schedule.

PROJECTS
Campus Utility App
Applied java to analyze data and django to build the final solution, presenting results to peers.

Mini Analytics Engine
Built using java and django. Focused on solving a practical problem and deploying a working demo.","python, flask, node.js, java, django, sql",6,1.7,Bachelors,1,0,5,53.3,Backend Developer
"PROFESSIONAL SUMMARY
Detail-oriented professional skilled in ci/cd and docker, seeking a Cloud Engineer role. Completed coursework and internships involving python and terraform.

EDUCATION
Diploma degree, relevant coursework in kubernetes.

SKILLS
cloudformation, aws, terraform, docker, penetration testing, gcp, python, linux, kubernetes, azure, networking, ci/cd

WORK EXPERIENCE
Cloud Engineer, NovaTech (2.0 yrs)
- Built and maintained systems using ci/cd and docker.
- Collaborated with a small team to ship features on schedule.","cloudformation, aws, terraform, docker, penetration testing, gcp, python, linux, kubernetes, azure, networking, ci/cd",12,2.0,Diploma,0,0,4,78.8,Cloud Engineer
"PROFILE
Backend Developer candidate with a strong foundation in node.js, rest api, flask. Passionate about python and continuous learning.

ACADEMIC BACKGROUND
Diploma degree, relevant coursework in sql.

SKILLS
redis, python, node.js, typescript, git, rest api, flask, responsive design, pytorch

ACADEMIC PROJECTS
Data Insights Dashboard
Built using node.js and rest api. Focused on solving a practical problem and deploying a working demo.

Data Insights Dashboard
Built using node.js and rest api. Focused on solving a practical problem and deploying a working demo.

CERTIFICATIONS
Relevant certification related to microservices.","redis, python, node.js, typescript, git, rest api, flask, responsive design, pytorch",9,2.7,Diploma,1,1,5,54.6,Backend Developer
"SUMMARY
Detail-oriented professional skilled in pandas and machine learning, seeking a Data Scientist role. Completed coursework and internships involving power bi and matplotlib.

ACADEMIC BACKGROUND
Bachelors degree, relevant coursework in power bi.

CORE COMPETENCIES
statistics, next.js, machine learning, pandas, matplotlib, power bi, sql, query optimization

EXPERIENCE
Data Scientist, Quantum Analytics (5.9 yrs)
- Built and maintained systems using pandas and machine learning.
- Collaborated with a small team to ship features on schedule.

ACADEMIC PROJECTS
Automation Toolkit
Built using pandas and machine learning. Focused on solving a practical problem and deploying a working demo.

Campus Utility App
Applied pandas to analyze data and machine learning to build the final solution, presenting results to peers.","statistics, next.js, machine learning, pandas, matplotlib, power bi, sql, query optimization",8,5.9,Bachelors,1,0,5,51.3,Data Scientist
"SUMMARY
Motivated AI Engineer with hands-on experience in docker, git and pytorch. Built projects applying tensorflow to solve real-world problems.

EDUCATION
Bachelors degree, relevant coursework in computer vision.

TECHNICAL SKILLS
git, aws, webpack, docker, pytorch, tensorflow

PROFESSIONAL EXPERIENCE
AI Engineer, Cascade Consulting (3.8 yrs)
- Automated workflows involving docker, reducing manual effort.
- Used git daily to support ongoing projects.

PROJECTS
Recommendation Prototype
Applied docker to analyze data and git to build the final solution, presenting results to peers.","git, aws, webpack, docker, pytorch, tensorflow",6,3.8,Bachelors,1,0,5,45.4,AI Engineer
"ACADEMIC BACKGROUND
PhD degree, relevant coursework in django.

TECHNICAL SKILLS
python, mongodb, git, sql

PROJECTS
Campus Utility App
Applied sql to analyze data and mongodb to build the final solution, presenting results to peers.

Automation Toolkit
Applied sql to analyze data and mongodb to build the final solution, presenting results to peers.

CERTIFICATIONS
Relevant certification related to sql.","python, mongodb, git, sql",4,11.7,PhD,1,1,4,58.0,Backend Developer
"EDUCATION
Masters degree, relevant coursework in oracle.

SKILLS
mysql, indexing, postgresql, oracle, mongodb, sql, backup, linux

WORK EXPERIENCE
Database Administrator Intern, Cascade Consulting (1.8 yrs)
- Assisted senior engineers with tasks involving backup and indexing.
- Learned mysql on the job through mentorship.

PROJECTS
Data Insights Dashboard
Applied backup to analyze data and mysql to build the final solution, presenting results to peers.

CERTIFICATES
Relevant certification related to backup.","mysql, indexing, postgresql, oracle, mongodb, sql, backup, linux",8,1.8,Masters,1,1,5,76.0,Database Administrator
"PROFILE
Results-driven DevOps Engineer with 3.0 years of practical exposure to terraform and jenkins. Enjoys solving problems with bash.

ACADEMIC BACKGROUND
Bachelors degree, relevant coursework in kubernetes.

SKILLS
typescript, indexing, kubernetes, jenkins, r, docker, terraform, bash

PROFESSIONAL EXPERIENCE
DevOps Engineer Intern, Cascade Consulting (3.0 yrs)
- Assisted senior engineers with tasks involving terraform and bash.
- Learned jenkins on the job through mentorship.

PERSONAL PROJECTS
Campus Utility App
Applied terraform to analyze data and jenkins to build the final solution, presenting results to peers.

Automation Toolkit
Built using terraform and jenkins. Focused on solving a practical problem and deploying a working demo.","typescript, indexing, kubernetes, jenkins, r, docker, terraform, bash",8,3.0,Bachelors,1,0,5,47.6,DevOps Engineer
"PROFESSIONAL SUMMARY
Motivated Database Administrator with hands-on experience in backup, mongodb and linux. Built projects applying etl to solve real-world problems.

EDUCATION
Bachelors degree, relevant coursework in mongodb.

SKILLS
mongodb, microservices, cloudformation, linux, etl, backup, pandas, monitoring

WORK EXPERIENCE
Database Administrator, Vertex Digital (1.2 yrs)
- Automated workflows involving backup, reducing manual effort.
- Used mongodb daily to support ongoing projects.

ACADEMIC PROJECTS
Campus Utility App
Built using backup and mongodb. Focused on solving a practical problem and deploying a working demo.

Data Insights Dashboard
Built using backup and mongodb. Focused on solving a practical problem and deploying a working demo.","mongodb, microservices, cloudformation, linux, etl, backup, pandas, monitoring",8,1.2,Bachelors,1,0,5,48.6,Database Administrator
"PROFESSIONAL SUMMARY
Results-driven Backend Developer with 1.1 years of practical exposure to java and rest api. Enjoys solving problems with python.

ACADEMIC BACKGROUND
Diploma degree, relevant coursework in rest api.

SKILLS
docker, python, ci/cd, java, ansible, rest api, scikit-learn, opencv, mongodb

EXPERIENCE
Backend Developer, Quantum Analytics (1.1 yrs)
- Built and maintained systems using java and rest api.
- Collaborated with a small team to ship features on schedule.

PERSONAL PROJECTS
Recommendation Prototype
Applied java to analyze data and rest api to build the final solution, presenting results to peers.

Data Insights Dashboard
Built using java and rest api. Focused on solving a practical problem and deploying a working demo.","docker, python, ci/cd, java, ansible, rest api, scikit-learn, opencv, mongodb",9,1.1,Diploma,1,0,5,40.4,Backend Developer
"SUMMARY
Database Administrator candidate with a strong foundation in mysql, etl, backup. Passionate about query optimization and continuous learning.

ACADEMIC BACKGROUND
Masters degree, relevant coursework in backup.

CORE COMPETENCIES
postgresql, mongodb, mysql, etl, aws, microservices, backup, cryptography, query optimization

WORK EXPERIENCE
Database Administrator Intern, Acme Solutions (3.9 yrs)
- Assisted senior engineers with tasks involving mysql and backup.
- Learned etl on the job through mentorship.

ACADEMIC PROJECTS
Recommendation Prototype
Built using mysql and etl. Focused on solving a practical problem and deploying a working demo.

Data Insights Dashboard
Applied mysql to analyze data and etl to build the final solution, presenting results to peers.","postgresql, mongodb, mysql, etl, aws, microservices, backup, cryptography, query optimization",9,3.9,Masters,1,0,5,67.5,Database Administrator
"PROFILE
Motivated AI Engineer with hands-on experience in keras, deep learning and docker. Built projects applying python to solve real-world problems.

ACADEMIC BACKGROUND
Diploma degree, relevant coursework in nlp.

TECHNICAL SKILLS
docker, keras, deep learning, python, pytorch

PROFESSIONAL EXPERIENCE
AI Engineer, NovaTech (7.0 yrs)
- Built and maintained systems using keras and deep learning.
- Collaborated with a small team to ship features on schedule.

ACADEMIC PROJECTS
Mini Analytics Engine
Applied keras to analyze data and deep learning to build the final solution, presenting results to peers.

Campus Utility App
Applied keras to analyze data and deep learning to build the final solution, presenting results to peers.

CERTIFICATIONS
Relevant certification related to nlp.","docker, keras, deep learning, python, pytorch",5,7.0,Diploma,1,1,6,64.4,AI Engineer
"OBJECTIVE
Detail-oriented professional skilled in power bi and data analysis, seeking a Business Analyst role. Completed coursework and internships involving jira and sql.

EDUCATION
Diploma degree, relevant coursework in sql.

TECHNICAL SKILLS
data analysis, prototyping, tableau, power bi, stakeholder management, sql, jira, agile, requirements gathering

WORK EXPERIENCE
Business Analyst, Skyline Systems (6.3 yrs)
- Built and maintained systems using power bi and data analysis.
- Collaborated with a small team to ship features on schedule.

PROJECTS
Mini Analytics Engine
Applied power bi to analyze data and data analysis to build the final solution, presenting results to peers.","data analysis, prototyping, tableau, power bi, stakeholder management, sql, jira, agile, requirements gathering",9,6.3,Diploma,1,0,5,83.4,Business Analyst
"SUMMARY
Results-driven Frontend Developer with 2.5 years of practical exposure to responsive design and figma. Enjoys solving problems with html.

EDUCATION
Diploma degree, relevant coursework in css.

CORE COMPETENCIES
monitoring, redux, html, stakeholder management, r, responsive design, kubernetes, figma

WORK EXPERIENCE
Frontend Developer, Cascade Consulting (2.5 yrs)
- Automated workflows involving responsive design, reducing manual effort.
- Used figma daily to support ongoing projects.","monitoring, redux, html, stakeholder management, r, responsive design, kubernetes, figma",8,2.5,Diploma,0,0,4,33.7,Frontend Developer
"EDUCATION
PhD degree, relevant coursework in postgresql.

CORE COMPETENCIES
postgresql, oracle, etl, prototyping, mysql, indexing, adobe xd, query optimization, backup, mongodb, linux

PROJECTS
Campus Utility App
Built using linux and oracle. Focused on solving a practical problem and deploying a working demo.","postgresql, oracle, etl, prototyping, mysql, indexing, adobe xd, query optimization, backup, mongodb, linux",11,1.9,PhD,1,0,3,67.7,Database Administrator
"PROFILE
Results-driven UI/UX Designer with 7.6 years of practical exposure to sketch and adobe xd. Enjoys solving problems with prototyping.

EDUCATION
Bachelors degree, relevant coursework in html.

TECHNICAL SKILLS
adobe xd, prototyping, deep learning, html, figma, usability testing, sketch, pytorch

PROFESSIONAL EXPERIENCE
UI/UX Designer Intern, Vertex Digital (7.6 yrs)
- Assisted senior engineers with tasks involving sketch and prototyping.
- Learned adobe xd on the job through mentorship.

ACADEMIC PROJECTS
Automation Toolkit
Applied sketch to analyze data and adobe xd to build the final solution, presenting results to peers.","adobe xd, prototyping, deep learning, html, figma, usability testing, sketch, pytorch",8,7.6,Bachelors,1,0,5,71.2,UI/UX Designer
"PROFILE
Business Analyst candidate with a strong foundation in agile, tableau, excel. Passionate about requirements gathering and continuous learning.

EDUCATION
Diploma degree, relevant coursework in tableau.

SKILLS
excel, stakeholder management, react, data analysis, requirements gathering, tableau, sql, jira, agile

PERSONAL PROJECTS
Personal Portfolio System
Built using agile and tableau. Focused on solving a practical problem and deploying a working demo.

Recommendation Prototype
Applied agile to analyze data and tableau to build the final solution, presenting results to peers.

CERTIFICATIONS
Relevant certification related to sql.","excel, stakeholder management, react, data analysis, requirements gathering, tableau, sql, jira, agile",9,2.2,Diploma,1,1,5,79.7,Business Analyst
"PROFESSIONAL SUMMARY
Motivated Business Analyst with hands-on experience in sql, agile and requirements gathering. Built projects applying power bi to solve real-world problems.

EDUCATION
Bachelors degree, relevant coursework in agile.

TECHNICAL SKILLS
power bi, stakeholder management, excel, agile, jira, data analysis, requirements gathering, sql, tableau","power bi, stakeholder management, excel, agile, jira, data analysis, requirements gathering, sql, tableau",9,0.2,Bachelors,0,0,3,60.9,Business Analyst
"PROFESSIONAL SUMMARY
Results-driven Data Scientist with 2.0 years of practical exposure to excel and tableau. Enjoys solving problems with python.

EDUCATION
Bachelors degree, relevant coursework in python.

TECHNICAL SKILLS
matplotlib, excel, statistics, sql, penetration testing, machine learning, cryptography, tableau, scikit-learn, pandas, python

WORK EXPERIENCE
Data Scientist, BrightPath Labs (2.0 yrs)
- Automated workflows involving excel, reducing manual effort.
- Used tableau daily to support ongoing projects.

PROJECTS
Automation Toolkit
Applied excel to analyze data and tableau to build the final solution, presenting results to peers.","matplotlib, excel, statistics, sql, penetration testing, machine learning, cryptography, tableau, scikit-learn, pandas, python",11,2.0,Bachelors,1,0,5,76.9,Data Scientist
"EDUCATION
Bachelors degree, relevant coursework in pytorch.

SKILLS
keras, sql, indexing, statistics, deep learning, docker, computer vision, machine learning, git, nlp, pytorch, python

PROFESSIONAL EXPERIENCE
AI Engineer Intern, Vertex Digital (0.5 yrs)
- Assisted senior engineers with tasks involving deep learning and python.
- Learned pytorch on the job through mentorship.

CERTIFICATES
Relevant certification related to docker.","keras, sql, indexing, statistics, deep learning, docker, computer vision, machine learning, git, nlp, pytorch, python",12,0.5,Bachelors,0,1,4,57.2,AI Engineer
"PROFILE
Results-driven Cloud Engineer with 0.6 years of practical exposure to python and cloudformation. Enjoys solving problems with terraform.

ACADEMIC BACKGROUND
Bachelors degree, relevant coursework in gcp.

SKILLS
keras, computer vision, terraform, linux, gcp, python, networking, usability testing, cloudformation

PROFESSIONAL EXPERIENCE
Cloud Engineer, Acme Solutions (0.6 yrs)
- Built and maintained systems using python and cloudformation.
- Collaborated with a small team to ship features on schedule.

PROJECTS
Mini Analytics Engine
Built using python and cloudformation. Focused on solving a practical problem and deploying a working demo.

Recommendation Prototype
Built using python and cloudformation. Focused on solving a practical problem and deploying a working demo.

CERTIFICATES
Relevant certification related to kubernetes.","keras, computer vision, terraform, linux, gcp, python, networking, usability testing, cloudformation",9,0.6,Bachelors,1,1,6,58.3,Cloud Engineer
"OBJECTIVE
Motivated Data Scientist with hands-on experience in scikit-learn, tableau and machine learning. Built projects applying power bi to solve real-world problems.

EDUCATION
Bachelors degree, relevant coursework in pandas.

TECHNICAL SKILLS
numpy, statistics, redux, machine learning, excel, prototyping, sql, scikit-learn, python, matplotlib, power bi, pandas, tableau, r, deep learning

WORK EXPERIENCE
Data Scientist, Quantum Analytics (3.8 yrs)
- Automated workflows involving scikit-learn, reducing manual effort.
- Used tableau daily to support ongoing projects.

PROJECTS
Personal Portfolio System
Applied scikit-learn to analyze data and tableau to build the final solution, presenting results to peers.","numpy, statistics, redux, machine learning, excel, prototyping, sql, scikit-learn, python, matplotlib, power bi, pandas, tableau, r, deep learning",15,3.8,Bachelors,1,0,5,85.2,Data Scientist
"OBJECTIVE
UI/UX Designer candidate with a strong foundation in html, figma, usability testing. Passionate about adobe xd and continuous learning.

ACADEMIC BACKGROUND
Diploma degree, relevant coursework in sketch.

TECHNICAL SKILLS
mysql, usability testing, mongodb, user research, adobe xd, design systems, system design, html, sketch, figma

EXPERIENCE
UI/UX Designer, Quantum Analytics (1.2 yrs)
- Automated workflows involving html, reducing manual effort.
- Used figma daily to support ongoing projects.","mysql, usability testing, mongodb, user research, adobe xd, design systems, system design, html, sketch, figma",10,1.2,Diploma,0,0,4,45.7,UI/UX Designer
"PROFILE
Cybersecurity Analyst candidate with a strong foundation in linux, penetration testing, siem. Passionate about incident response and continuous learning.

ACADEMIC BACKGROUND
Bachelors degree, relevant coursework in incident response.

SKILLS
wireshark, penetration testing, cryptography, vulnerability assessment, siem, network security, python, incident response, firewalls, linux

PROJECTS
Automation Toolkit
Built using linux and penetration testing. Focused on solving a practical problem and deploying a working demo.","wireshark, penetration testing, cryptography, vulnerability assessment, siem, network security, python, incident response, firewalls, linux",10,4.7,Bachelors,1,0,4,88.3,Cybersecurity Analyst
"PROFILE
Results-driven Cloud Engineer with 0.4 years of practical exposure to aws and linux. Enjoys solving problems with networking.

ACADEMIC BACKGROUND
Diploma degree, relevant coursework in ci/cd.

CORE COMPETENCIES
oracle, python, aws, linux, figma, flask, cloudformation, networking, statistics, docker

WORK EXPERIENCE
Cloud Engineer, Quantum Analytics (0.5 yrs)
- Built and maintained systems using aws and linux.
- Collaborated with a small team to ship features on schedule.

PERSONAL PROJECTS
Campus Utility App
Built using aws and linux. Focused on solving a practical problem and deploying a working demo.","oracle, python, aws, linux, figma, flask, cloudformation, networking, statistics, docker",10,0.4,Diploma,1,0,5,45.3,Cloud Engineer
"ACADEMIC BACKGROUND
Bachelors degree, relevant coursework in terraform.

TECHNICAL SKILLS
jenkins, git, ci/cd, aws, docker, mongodb, monitoring, linux, bash, kubernetes, prometheus, ansible, terraform","jenkins, git, ci/cd, aws, docker, mongodb, monitoring, linux, bash, kubernetes, prometheus, ansible, terraform",13,9.6,Bachelors,0,0,2,68.7,DevOps Engineer
"OBJECTIVE
Business Analyst candidate with a strong foundation in requirements gathering, stakeholder management, sql. Passionate about agile and continuous learning.

EDUCATION
Diploma degree, relevant coursework in power bi.

CORE COMPETENCIES
data structures, sql, stakeholder management, requirements gathering, agile","data structures, sql, stakeholder management, requirements gathering, agile",5,1.2,Diploma,0,0,3,33.1,Business Analyst
"ACADEMIC BACKGROUND
Masters degree, relevant coursework in css.

SKILLS
aws, git, html, figma, react, next.js, typescript

WORK EXPERIENCE
Frontend Developer Intern, Vertex Digital (1.3 yrs)
- Assisted senior engineers with tasks involving figma and typescript.
- Learned git on the job through mentorship.","aws, git, html, figma, react, next.js, typescript",7,1.3,Masters,0,0,3,43.5,Frontend Developer
"OBJECTIVE
Frontend Developer candidate with a strong foundation in css, typescript, next.js. Passionate about responsive design and continuous learning.

ACADEMIC BACKGROUND
Bachelors degree, relevant coursework in react.

SKILLS
cryptography, next.js, css, typescript, responsive design

PROFESSIONAL EXPERIENCE
Frontend Developer Intern, Quantum Analytics (0.5 yrs)
- Assisted senior engineers with tasks involving css and next.js.
- Learned typescript on the job through mentorship.

CERTIFICATIONS
Relevant certification related to javascript.","cryptography, next.js, css, typescript, responsive design",5,0.2,Bachelors,0,1,5,31.7,Frontend Developer
"SUMMARY
Motivated DevOps Engineer with hands-on experience in kubernetes, docker and bash. Built projects applying terraform to solve real-world problems.

EDUCATION
Masters degree, relevant coursework in ci/cd.

SKILLS
prometheus, ansible, docker, vulnerability assessment, siem, ci/cd, monitoring, aws, terraform, linux, jenkins, bash, kubernetes, webpack

PROFESSIONAL EXPERIENCE
DevOps Engineer, Vertex Digital (4.2 yrs)
- Automated workflows involving kubernetes, reducing manual effort.
- Used docker daily to support ongoing projects.","prometheus, ansible, docker, vulnerability assessment, siem, ci/cd, monitoring, aws, terraform, linux, jenkins, bash, kubernetes, webpack",14,4.2,Masters,0,0,4,75.5,DevOps Engineer
"OBJECTIVE
Motivated Cloud Engineer with hands-on experience in aws, python and networking. Built projects applying azure to solve real-world problems.

ACADEMIC BACKGROUND
Bachelors degree, relevant coursework in terraform.

TECHNICAL SKILLS
networking, linux, system design, gcp, aws, user research, docker, kubernetes, numpy, azure, cloudformation, python, jenkins, ci/cd

PROJECTS
Mini Analytics Engine
Applied aws to analyze data and python to build the final solution, presenting results to peers.","networking, linux, system design, gcp, aws, user research, docker, kubernetes, numpy, azure, cloudformation, python, jenkins, ci/cd",14,1.0,Bachelors,1,0,4,63.9,Cloud Engineer
"PROFILE
Results-driven DevOps Engineer with 1.2 years of practical exposure to git and kubernetes. Enjoys solving problems with ansible.

EDUCATION
Bachelors degree, relevant coursework in linux.

CORE COMPETENCIES
git, ci/cd, penetration testing, prometheus, opencv, keras, ansible, kubernetes

PROFESSIONAL EXPERIENCE
DevOps Engineer, Northwind Software (1.2 yrs)
- Automated workflows involving git, reducing manual effort.
- Used kubernetes daily to support ongoing projects.

PERSONAL PROJECTS
Mini Analytics Engine
Built using git and kubernetes. Focused on solving a practical problem and deploying a working demo.

CERTIFICATIONS
Relevant certification related to ansible.","git, ci/cd, penetration testing, prometheus, opencv, keras, ansible, kubernetes",8,1.2,Bachelors,1,1,6,58.9,DevOps Engineer
"SUMMARY
AI Engineer candidate with a strong foundation in git, deep learning, machine learning. Passionate about nlp and continuous learning.

ACADEMIC BACKGROUND
PhD degree, relevant coursework in git.

TECHNICAL SKILLS
deep learning, django, opencv, git, tensorflow, machine learning, wireframing, nlp

WORK EXPERIENCE
AI Engineer, Quantum Analytics (0.5 yrs)
- Built and maintained systems using git and deep learning.
- Collaborated with a small team to ship features on schedule.

ACADEMIC PROJECTS
Data Insights Dashboard
Built using git and deep learning. Focused on solving a practical problem and deploying a working demo.

Mini Analytics Engine
Applied git to analyze data and deep learning to build the final solution, presenting results to peers.

CERTIFICATES
Relevant certification related to python.","deep learning, django, opencv, git, tensorflow, machine learning, wireframing, nlp",8,0.1,PhD,1,1,6,60.2,AI Engineer
"SUMMARY
Detail-oriented professional skilled in sql and etl, seeking a Database Administrator role. Completed coursework and internships involving mongodb and mysql.

ACADEMIC BACKGROUND
Bachelors degree, relevant coursework in query optimization.

CORE COMPETENCIES
query optimization, linux, mongodb, indexing, sql, postgresql, etl, oracle, mysql, backup

EXPERIENCE
Database Administrator, Cascade Consulting (0.5 yrs)
- Automated workflows involving sql, reducing manual effort.
- Used etl daily to support ongoing projects.

PROJECTS
Recommendation Prototype
Built using sql and etl. Focused on solving a practical problem and deploying a working demo.

Campus Utility App
Applied sql to analyze data and etl to build the final solution, presenting results to peers.","query optimization, linux, mongodb, indexing, sql, postgresql, etl, oracle, mysql, backup",10,0.2,Bachelors,1,0,5,66.5,Database Administrator
"OBJECTIVE
Motivated Cloud Engineer with hands-on experience in python, ci/cd and docker. Built projects applying networking to solve real-world problems.

EDUCATION
PhD degree, relevant coursework in aws.

CORE COMPETENCIES
python, docker, cloudformation, networking, incident response, ci/cd, redux

EXPERIENCE
Cloud Engineer, Skyline Systems (1.2 yrs)
- Automated workflows involving python, reducing manual effort.
- Used ci/cd daily to support ongoing projects.

ACADEMIC PROJECTS
Data Insights Dashboard
Built using python and ci/cd. Focused on solving a practical problem and deploying a working demo.

Recommendation Prototype
Built using python and ci/cd. Focused on solving a practical problem and deploying a working demo.

CERTIFICATES
Relevant certification related to gcp.","python, docker, cloudformation, networking, incident response, ci/cd, redux",7,1.2,PhD,1,1,6,55.3,Cloud Engineer
"PROFESSIONAL SUMMARY
Detail-oriented professional skilled in sql and python, seeking a AI Engineer role. Completed coursework and internships involving computer vision and docker.

EDUCATION
PhD degree, relevant coursework in computer vision.

CORE COMPETENCIES
computer vision, python, opencv, sql, tensorflow, git, aws, nlp, pytorch, docker, terraform, deep learning

PROFESSIONAL EXPERIENCE
AI Engineer, Vertex Digital (2.1 yrs)
- Automated workflows involving sql, reducing manual effort.
- Used python daily to support ongoing projects.","computer vision, python, opencv, sql, tensorflow, git, aws, nlp, pytorch, docker, terraform, deep learning",12,2.1,PhD,0,0,4,62.5,AI Engineer
"OBJECTIVE
Backend Developer candidate with a strong foundation in flask, docker, node.js. Passionate about python and continuous learning.

EDUCATION
Masters degree, relevant coursework in python.

SKILLS
sql, node.js, algorithms, redis, backup, docker, c++, flask, microservices, usability testing, java, python, rest api

PROFESSIONAL EXPERIENCE
Backend Developer Intern, NovaTech (0.5 yrs)
- Assisted senior engineers with tasks involving flask and node.js.
- Learned docker on the job through mentorship.

PERSONAL PROJECTS
Personal Portfolio System
Built using flask and docker. Focused on solving a practical problem and deploying a working demo.

Recommendation Prototype
Built using flask and docker. Focused on solving a practical problem and deploying a working demo.

CERTIFICATES
Relevant certification related to python.","sql, node.js, algorithms, redis, backup, docker, c++, flask, microservices, usability testing, java, python, rest api",13,0.0,Masters,1,1,6,70.4,Backend Developer
"SUMMARY
Motivated Cloud Engineer with hands-on experience in ci/cd, terraform and cloudformation. Built projects applying kubernetes to solve real-world problems.

EDUCATION
Bachelors degree, relevant coursework in cloudformation.

CORE COMPETENCIES
junit, terraform, kubernetes, networking, gcp, usability testing, ci/cd, cloudformation

PROFESSIONAL EXPERIENCE
Cloud Engineer Intern, Northwind Software (0.6 yrs)
- Assisted senior engineers with tasks involving ci/cd and cloudformation.
- Learned terraform on the job through mentorship.

PERSONAL PROJECTS
Automation Toolkit
Applied ci/cd to analyze data and terraform to build the final solution, presenting results to peers.","junit, terraform, kubernetes, networking, gcp, usability testing, ci/cd, cloudformation",8,0.6,Bachelors,1,0,5,46.6,Cloud Engineer
"OBJECTIVE
Frontend Developer candidate with a strong foundation in react, next.js, webpack. Passionate about html and continuous learning.

ACADEMIC BACKGROUND
Masters degree, relevant coursework in git.

TECHNICAL SKILLS
statistics, react, html, next.js, cloudformation, webpack

EXPERIENCE
Frontend Developer Intern, Quantum Analytics (3.4 yrs)
- Assisted senior engineers with tasks involving react and webpack.
- Learned next.js on the job through mentorship.

PERSONAL PROJECTS
Personal Portfolio System
Applied react to analyze data and next.js to build the final solution, presenting results to peers.

Recommendation Prototype
Applied react to analyze data and next.js to build the final solution, presenting results to peers.

CERTIFICATES
Relevant certification related to react.","statistics, react, html, next.js, cloudformation, webpack",6,3.4,Masters,1,1,6,58.2,Frontend Developer
"PROFILE
Database Administrator candidate with a strong foundation in mongodb, mysql, etl. Passionate about indexing and continuous learning.

ACADEMIC BACKGROUND
Masters degree, relevant coursework in query optimization.

TECHNICAL SKILLS
postgresql, linux, mysql, etl, sql, indexing, mongodb

EXPERIENCE
Database Administrator, BrightPath Labs (0.9 yrs)
- Built and maintained systems using mongodb and mysql.
- Collaborated with a small team to ship features on schedule.

ACADEMIC PROJECTS
Personal Portfolio System
Built using mongodb and mysql. Focused on solving a practical problem and deploying a working demo.

Data Insights Dashboard
Applied mongodb to analyze data and mysql to build the final solution, presenting results to peers.

CERTIFICATIONS
Relevant certification related to mongodb.","postgresql, linux, mysql, etl, sql, indexing, mongodb",7,0.9,Masters,1,1,6,70.3,Database Administrator
"OBJECTIVE
Results-driven Data Scientist with 0.7 years of practical exposure to power bi and numpy. Enjoys solving problems with excel.

EDUCATION
PhD degree, relevant coursework in matplotlib.

CORE COMPETENCIES
terraform, tableau, scikit-learn, statistics, python, machine learning, r, sql, excel, pandas, prototyping, numpy, power bi

PROJECTS
Personal Portfolio System
Built using power bi and numpy. Focused on solving a practical problem and deploying a working demo.

Mini Analytics Engine
Built using power bi and numpy. Focused on solving a practical problem and deploying a working demo.","terraform, tableau, scikit-learn, statistics, python, machine learning, r, sql, excel, pandas, prototyping, numpy, power bi",13,0.7,PhD,1,0,4,77.2,Data Scientist
"PROFESSIONAL SUMMARY
Business Analyst candidate with a strong foundation in tableau, sql, power bi. Passionate about excel and continuous learning.

EDUCATION
Bachelors degree, relevant coursework in tableau.

SKILLS
data analysis, stakeholder management, sql, agile, jira, requirements gathering, tableau, excel, power bi

WORK EXPERIENCE
Business Analyst, Vertex Digital (0.7 yrs)
- Automated workflows involving tableau, reducing manual effort.
- Used sql daily to support ongoing projects.

ACADEMIC PROJECTS
Mini Analytics Engine
Built using tableau and sql. Focused on solving a practical problem and deploying a working demo.

CERTIFICATIONS
Relevant certification related to sql.","data analysis, stakeholder management, sql, agile, jira, requirements gathering, tableau, excel, power bi",9,0.7,Bachelors,1,1,6,90.1,Business Analyst
