resume_text,skills,num_skills,years_experience,education,has_projects,has_certifications,num_sections,resume_score,role,clean_text,education_encoded,cluster
"PROFESSIONAL SUMMARY
Detail-oriented professional skilled in design systems and css, seeking a UI/UX Designer role. Completed coursework and internships involving usability testing and wireframing.

EDUCATION
Bachelors degree, relevant coursework in design systems.

CORE COMPETENCIES
wireframing, usability testing, java, css, design systems

EXPERIENCE
UI/UX Designer, Northwind Software (1.0 yrs)
- Built and maintained systems using design systems and css.
- Collaborated with a small team to ship features on schedule.

PROJECTS
Campus Utility App
Built using design systems and css. Focused on solving a practical problem and deploying a working demo.

Recommendation Prototype
Built using design systems and css. Focused on solving a practical problem and deploying a working demo.

CERTIFICATIONS
Relevant certification related to figma.","wireframing, usability testing, java, css, design systems",5,1.0,Bachelors,1,1,6,61.9,UI/UX Designer,professional summary detail oriented professional skilled design system cs seeking designer role completed coursework internship involving usability testing wireframing education bachelor degree relevant coursework design system core competency wireframing usability testing java cs design system experience designer northwind software yr built maintained system using design system cs collaborated small team ship feature schedule project campus utility app built using design system cs focused solving practical problem deploying working demo recommendation prototype built using design system cs focused solving practical problem deploying working demo certification relevant certification related figma,1,4
"PROFILE
DevOps Engineer candidate with a strong foundation in ansible, terraform, ci/cd. Passionate about aws and continuous learning.

ACADEMIC BACKGROUND
Masters degree, relevant coursework in terraform.

CORE COMPETENCIES
monitoring, ci/cd, ansible, terraform, prometheus, jenkins, kubernetes, bash, docker, git, aws, linux

WORK EXPERIENCE
DevOps Engineer Intern, Quantum Analytics (1.1 yrs)
- Assisted senior engineers with tasks involving ansible and ci/cd.
- Learned terraform on the job through mentorship.

ACADEMIC PROJECTS
Recommendation Prototype
Applied ansible to analyze data and terraform to build the final solution, presenting results to peers.

CERTIFICATIONS
Relevant certification related to ansible.","monitoring, ci/cd, ansible, terraform, prometheus, jenkins, kubernetes, bash, docker, git, aws, linux",12,1.1,Masters,1,1,6,82.4,DevOps Engineer,profile devops engineer candidate strong foundation ansible terraform passionate aws continuous learning academic background master degree relevant coursework terraform core competency monitoring ansible terraform prometheus jenkins kubernetes bash docker git aws linux work experience devops engineer intern quantum analytics yr assisted senior engineer task involving ansible learned terraform job mentorship academic project recommendation prototype applied ansible analyze data terraform build final solution presenting result peer certification relevant certification related ansible,2,4
"SUMMARY
Results-driven Business Analyst with 2.9 years of practical exposure to agile and excel. Enjoys solving problems with jira.

ACADEMIC BACKGROUND
Bachelors degree, relevant coursework in requirements gathering.

SKILLS
cryptography, agile, tableau, node.js, excel, jira

WORK EXPERIENCE
Business Analyst, Northwind Software (2.9 yrs)
- Built and maintained systems using agile and excel.
- Collaborated with a small team to ship features on schedule.

ACADEMIC PROJECTS
Data Insights Dashboard
Applied agile to analyze data and excel to build the final solution, presenting results to peers.

Automation Toolkit
Built using agile and excel. Focused on solving a practical problem and deploying a working demo.","cryptography, agile, tableau, node.js, excel, jira",6,2.9,Bachelors,1,0,5,51.8,Business Analyst,summary result driven business analyst year practical exposure agile excel enjoys solving problem jira academic background bachelor degree relevant coursework requirement gathering skill cryptography agile tableau node excel jira work experience business analyst northwind software yr built maintained system using agile excel collaborated small team ship feature schedule academic project data insight dashboard applied agile analyze data excel build final solution presenting result peer automation toolkit built using agile excel focused solving practical problem deploying working demo,1,0
"PROFESSIONAL SUMMARY
Motivated Backend Developer with hands-on experience in microservices, git and django. Built projects applying redis to solve real-world problems.

EDUCATION
Bachelors degree, relevant coursework in docker.

TECHNICAL SKILLS
docker, mongodb, microservices, java, bash, rest api, python, sql, node.js, redis, django, git

PROFESSIONAL EXPERIENCE
Backend Developer Intern, Acme Solutions (4.8 yrs)
- Assisted senior engineers with tasks involving microservices and django.
- Learned git on the job through mentorship.

ACADEMIC PROJECTS
Mini Analytics Engine
Built using microservices and git. Focused on solving a practical problem and deploying a working demo.","docker, mongodb, microservices, java, bash, rest api, python, sql, node.js, redis, django, git",12,4.8,Bachelors,1,0,5,81.7,Backend Developer,professional summary motivated backend developer hand experience microservices git django built project applying redis solve real world problem education bachelor degree relevant coursework docker technical skill docker mongodb microservices java bash rest api python sql node redis django git professional experience backend developer intern acme solution yr assisted senior engineer task involving microservices django learned git job mentorship academic project mini analytics engine built using microservices git focused solving practical problem deploying working demo,1,3
"EDUCATION
Bachelors degree, relevant coursework in user research.

SKILLS
design systems, adobe xd, html, kubernetes, sketch, wireframing, prototyping, statistics, usability testing, flask, user research, css, figma

PROJECTS
Mini Analytics Engine
Applied prototyping to analyze data and adobe xd to build the final solution, presenting results to peers.

Mini Analytics Engine
Built using prototyping and adobe xd. Focused on solving a practical problem and deploying a working demo.","design systems, adobe xd, html, kubernetes, sketch, wireframing, prototyping, statistics, usability testing, flask, user research, css, figma",13,0.4,Bachelors,1,0,3,74.4,UI/UX Designer,education bachelor degree relevant coursework user research skill design system adobe html kubernetes sketch wireframing prototyping statistic usability testing flask user research cs figma project mini analytics engine applied prototyping analyze data adobe build final solution presenting result peer mini analytics engine built using prototyping adobe focused solving practical problem deploying working demo,1,0
"PROFILE
Motivated Cybersecurity Analyst with hands-on experience in firewalls, cryptography and penetration testing. Built projects applying linux to solve real-world problems.

ACADEMIC BACKGROUND
Masters degree, relevant coursework in python.

CORE COMPETENCIES
tableau, network security, penetration testing, linux, css, cryptography, deep learning, firewalls, python, incident response

PROFESSIONAL EXPERIENCE
Cybersecurity Analyst, Acme Solutions (3.1 yrs)
- Built and maintained systems using firewalls and cryptography.
- Collaborated with a small team to ship features on schedule.

ACADEMIC PROJECTS
Recommendation Prototype
Built using firewalls and cryptography. Focused on solving a practical problem and deploying a working demo.

CERTIFICATES
Relevant certification related to wireshark.","tableau, network security, penetration testing, linux, css, cryptography, deep learning, firewalls, python, incident response",10,3.1,Masters,1,1,6,78.8,Cybersecurity Analyst,profile motivated cybersecurity analyst hand experience firewall cryptography penetration testing built project applying linux solve real world problem academic background master degree relevant coursework python core competency tableau network security penetration testing linux cs cryptography deep learning firewall python incident response professional experience cybersecurity analyst acme solution yr built maintained system using firewall cryptography collaborated small team ship feature schedule academic project recommendation prototype built using firewall cryptography focused solving practical problem deploying working demo certificate relevant certification related wireshark,2,4
"SUMMARY
Motivated AI Engineer with hands-on experience in nlp, deep learning and pytorch. Built projects applying machine learning to solve real-world problems.

EDUCATION
Diploma degree, relevant coursework in deep learning.

SKILLS
python, tensorflow, computer vision, pytorch, opencv, jira, machine learning, deep learning, sql, git, nlp

CERTIFICATES
Relevant certification related to keras.","python, tensorflow, computer vision, pytorch, opencv, jira, machine learning, deep learning, sql, git, nlp",11,0.3,Diploma,0,1,4,63.0,AI Engineer,summary motivated engineer hand experience nlp deep learning pytorch built project applying machine learning solve real world problem education diploma degree relevant coursework deep learning skill python tensorflow computer vision pytorch opencv jira machine learning deep learning sql git nlp certificate relevant certification related kera,0,2
"PROFESSIONAL SUMMARY
Results-driven AI Engineer with 2.1 years of practical exposure to computer vision and tensorflow. Enjoys solving problems with opencv.

EDUCATION
Masters degree, relevant coursework in machine learning.

CORE COMPETENCIES
sql, webpack, opencv, computer vision, linux, git, pytorch, azure, tensorflow, machine learning, python, deep learning","sql, webpack, opencv, computer vision, linux, git, pytorch, azure, tensorflow, machine learning, python, deep learning",12,2.1,Masters,0,0,3,52.6,AI Engineer,professional summary result driven engineer year practical exposure computer vision tensorflow enjoys solving problem opencv education master degree relevant coursework machine learning core competency sql webpack opencv computer vision linux git pytorch azure tensorflow machine learning python deep learning,2,1
"OBJECTIVE
Motivated AI Engineer with hands-on experience in machine learning, git and pytorch. Built projects applying computer vision to solve real-world problems.

ACADEMIC BACKGROUND
PhD degree, relevant coursework in machine learning.

TECHNICAL SKILLS
wireshark, machine learning, pytorch, scikit-learn, git, sql, computer vision

EXPERIENCE
AI Engineer, BrightPath Labs (0.5 yrs)
- Automated workflows involving machine learning, reducing manual effort.
- Used git daily to support ongoing projects.

CERTIFICATES
Relevant certification related to python.","wireshark, machine learning, pytorch, scikit-learn, git, sql, computer vision",7,0.2,PhD,0,1,5,36.7,AI Engineer,objective motivated engineer hand experience machine learning git pytorch built project applying computer vision solve real world problem academic background phd degree relevant coursework machine learning technical skill wireshark machine learning pytorch scikit learn git sql computer vision experience engineer brightpath lab yr automated workflow involving machine learning reducing manual effort used git daily support ongoing project certificate relevant certification related python,3,2
"ACADEMIC BACKGROUND
PhD degree, relevant coursework in react.

CORE COMPETENCIES
webpack, numpy, responsive design, git, react, figma, typescript, css, scikit-learn

PROFESSIONAL EXPERIENCE
Frontend Developer, Quantum Analytics (11.5 yrs)
- Automated workflows involving css, reducing manual effort.
- Used responsive design daily to support ongoing projects.

ACADEMIC PROJECTS
Campus Utility App
Applied css to analyze data and responsive design to build the final solution, presenting results to peers.","webpack, numpy, responsive design, git, react, figma, typescript, css, scikit-learn",9,11.5,PhD,1,0,4,67.8,Frontend Developer,academic background phd degree relevant coursework react core competency webpack numpy responsive design git react figma typescript cs scikit learn professional experience frontend developer quantum analytics yr automated workflow involving cs reducing manual effort used responsive design daily support ongoing project academic project campus utility app applied cs analyze data responsive design build final solution presenting result peer,3,3
"ACADEMIC BACKGROUND
Masters degree, relevant coursework in sql.

SKILLS
algorithms, data analysis, sql, excel, agile, user research, css, tableau, power bi, jira

PROFESSIONAL EXPERIENCE
Business Analyst, Quantum Analytics (1.0 yrs)
- Automated workflows involving excel, reducing manual effort.
- Used data analysis daily to support ongoing projects.

PERSONAL PROJECTS
Personal Portfolio System
Built using excel and data analysis. Focused on solving a practical problem and deploying a working demo.","algorithms, data analysis, sql, excel, agile, user research, css, tableau, power bi, jira",10,1.0,Masters,1,0,4,51.3,Business Analyst,academic background master degree relevant coursework sql skill algorithm data analysis sql excel agile user research cs tableau power jira professional experience business analyst quantum analytics yr automated workflow involving excel reducing manual effort used data analysis daily support ongoing project personal project personal portfolio system built using excel data analysis focused solving practical problem deploying working demo,2,0
"PROFILE
Motivated AI Engineer with hands-on experience in opencv, nlp and tensorflow. Built projects applying sql to solve real-world problems.

ACADEMIC BACKGROUND
Bachelors degree, relevant coursework in docker.

SKILLS
opencv, oop, agile, sql, computer vision, git, tensorflow, machine learning, nlp, next.js, docker

PROFESSIONAL EXPERIENCE
AI Engineer, Quantum Analytics (3.0 yrs)
- Automated workflows involving opencv, reducing manual effort.
- Used nlp daily to support ongoing projects.

PROJECTS
Personal Portfolio System
Built using opencv and nlp. Focused on solving a practical problem and deploying a working demo.

CERTIFICATES
Relevant certification related to tensorflow.","opencv, oop, agile, sql, computer vision, git, tensorflow, machine learning, nlp, next.js, docker",11,3.0,Bachelors,1,1,6,74.6,AI Engineer,profile motivated engineer hand experience opencv nlp tensorflow built project applying sql solve real world problem academic background bachelor degree relevant coursework docker skill opencv oop agile sql computer vision git tensorflow machine learning nlp next docker professional experience engineer quantum analytics yr automated workflow involving opencv reducing manual effort used nlp daily support ongoing project project personal portfolio system built using opencv nlp focused solving practical problem deploying working demo certificate relevant certification related tensorflow,1,4
"PROFESSIONAL SUMMARY
Detail-oriented professional skilled in power bi and machine learning, seeking a Data Scientist role. Completed coursework and internships involving r and numpy.

ACADEMIC BACKGROUND
Bachelors degree, relevant coursework in sql.

SKILLS
python, scikit-learn, azure, r, numpy, siem, design systems, statistics, power bi, matplotlib, machine learning

WORK EXPERIENCE
Data Scientist Intern, BrightPath Labs (0.5 yrs)
- Assisted senior engineers with tasks involving power bi and r.
- Learned machine learning on the job through mentorship.

CERTIFICATES
Relevant certification related to statistics.","python, scikit-learn, azure, r, numpy, siem, design systems, statistics, power bi, matplotlib, machine learning",11,0.2,Bachelors,0,1,5,51.4,Data Scientist,professional summary detail oriented professional skilled power machine learning seeking data scientist role completed coursework internship involving numpy academic background bachelor degree relevant coursework sql skill python scikit learn azure numpy siem design system statistic power matplotlib machine learning work experience data scientist intern brightpath lab yr assisted senior engineer task involving power learned machine learning job mentorship certificate relevant certification related statistic,1,2
"PROFESSIONAL SUMMARY
Cloud Engineer candidate with a strong foundation in ci/cd, linux, gcp. Passionate about networking and continuous learning.

EDUCATION
Diploma degree, relevant coursework in azure.

CORE COMPETENCIES
networking, node.js, linux, gcp, tensorflow, jenkins, azure, terraform, docker, ci/cd, aws, kubernetes, python, stakeholder management, cloudformation

PROFESSIONAL EXPERIENCE
Cloud Engineer, Quantum Analytics (0.8 yrs)
- Automated workflows involving ci/cd, reducing manual effort.
- Used linux daily to support ongoing projects.

CERTIFICATES
Relevant certification related to linux.","networking, node.js, linux, gcp, tensorflow, jenkins, azure, terraform, docker, ci/cd, aws, kubernetes, python, stakeholder management, cloudformation",15,0.8,Diploma,0,1,5,70.8,Cloud Engineer,professional summary cloud engineer candidate strong foundation linux gcp passionate networking continuous learning education diploma degree relevant coursework azure core competency networking node linux gcp tensorflow jenkins azure terraform docker aws kubernetes python stakeholder management cloudformation professional experience cloud engineer quantum analytics yr automated workflow involving reducing manual effort used linux daily support ongoing project certificate relevant certification related linux,0,2
"SUMMARY
Detail-oriented professional skilled in excel and sql, seeking a Data Scientist role. Completed coursework and internships involving tableau and machine learning.

ACADEMIC BACKGROUND
Bachelors degree, relevant coursework in power bi.

TECHNICAL SKILLS
tableau, excel, machine learning, sql, scikit-learn, jenkins

WORK EXPERIENCE
Data Scientist, Acme Solutions (9.9 yrs)
- Automated workflows involving excel, reducing manual effort.
- Used sql daily to support ongoing projects.

PERSONAL PROJECTS
Automation Toolkit
Built using excel and sql. Focused on solving a practical problem and deploying a working demo.","tableau, excel, machine learning, sql, scikit-learn, jenkins",6,9.9,Bachelors,1,0,5,63.2,Data Scientist,summary detail oriented professional skilled excel sql seeking data scientist role completed coursework internship involving tableau machine learning academic background bachelor degree relevant coursework power technical skill tableau excel machine learning sql scikit learn jenkins work experience data scientist acme solution yr automated workflow involving excel reducing manual effort used sql daily support ongoing project personal project automation toolkit built using excel sql focused solving practical problem deploying working demo,1,3
"SUMMARY
Backend Developer candidate with a strong foundation in python, microservices, docker. Passionate about sql and continuous learning.

EDUCATION
PhD degree, relevant coursework in django.

TECHNICAL SKILLS
rest api, flask, docker, node.js, java, adobe xd, sql, redis, django, git, mongodb, microservices, python

ACADEMIC PROJECTS
Automation Toolkit
Applied python to analyze data and microservices to build the final solution, presenting results to peers.","rest api, flask, docker, node.js, java, adobe xd, sql, redis, django, git, mongodb, microservices, python",13,1.1,PhD,1,0,4,73.2,Backend Developer,summary backend developer candidate strong foundation python microservices docker passionate sql continuous learning education phd degree relevant coursework django technical skill rest api flask docker node java adobe sql redis django git mongodb microservices python academic project automation toolkit applied python analyze data microservices build final solution presenting result peer,3,0
"SUMMARY
Motivated Cybersecurity Analyst with hands-on experience in vulnerability assessment, siem and cryptography. Built projects applying incident response to solve real-world problems.

EDUCATION
Diploma degree, relevant coursework in firewalls.

SKILLS
incident response, siem, vulnerability assessment, jira, linux, firewalls, wireshark, python, penetration testing, tensorflow, sql, typescript, cryptography, network security

WORK EXPERIENCE
Cybersecurity Analyst, Acme Solutions (0.5 yrs)
- Automated workflows involving vulnerability assessment, reducing manual effort.
- Used siem daily to support ongoing projects.

ACADEMIC PROJECTS
Campus Utility App
Applied vulnerability assessment to analyze data and siem to build the final solution, presenting results to peers.","incident response, siem, vulnerability assessment, jira, linux, firewalls, wireshark, python, penetration testing, tensorflow, sql, typescript, cryptography, network security",14,0.4,Diploma,1,0,5,73.0,Cybersecurity Analyst,summary motivated cybersecurity analyst hand experience vulnerability assessment siem cryptography built project applying incident response solve real world problem education diploma degree relevant coursework firewall skill incident response siem vulnerability assessment jira linux firewall wireshark python penetration testing tensorflow sql typescript cryptography network security work experience cybersecurity analyst acme solution yr automated workflow involving vulnerability assessment reducing manual effort used siem daily support ongoing project academic project campus utility app applied vulnerability assessment analyze data siem build final solution presenting result peer,0,0
"ACADEMIC BACKGROUND
PhD degree, relevant coursework in pytorch.

CORE COMPETENCIES
python, azure, keras, nlp, deep learning, git, tensorflow, docker, sql, machine learning, ci/cd

WORK EXPERIENCE
AI Engineer Intern, Vertex Digital (2.6 yrs)
- Assisted senior engineers with tasks involving docker and git.
- Learned tensorflow on the job through mentorship.

ACADEMIC PROJECTS
Campus Utility App
Built using docker and tensorflow. Focused on solving a practical problem and deploying a working demo.","python, azure, keras, nlp, deep learning, git, tensorflow, docker, sql, machine learning, ci/cd",11,2.6,PhD,1,0,4,71.6,AI Engineer,academic background phd degree relevant coursework pytorch core competency python azure kera nlp deep learning git tensorflow docker sql machine learning work experience engineer intern vertex digital yr assisted senior engineer task involving docker git learned tensorflow job mentorship academic project campus utility app built using docker tensorflow focused solving practical problem deploying working demo,3,0
"OBJECTIVE
Results-driven Cybersecurity Analyst with 1.9 years of practical exposure to siem and vulnerability assessment. Enjoys solving problems with network security.

ACADEMIC BACKGROUND
Masters degree, relevant coursework in network security.

CORE COMPETENCIES
siem, stakeholder management, vulnerability assessment, penetration testing, incident response, backup, network security

PROFESSIONAL EXPERIENCE
Cybersecurity Analyst, Northwind Software (1.9 yrs)
- Built and maintained systems using siem and vulnerability assessment.
- Collaborated with a small team to ship features on schedule.","siem, stakeholder management, vulnerability assessment, penetration testing, incident response, backup, network security",7,1.9,Masters,0,0,4,34.1,Cybersecurity Analyst,objective result driven cybersecurity analyst year practical exposure siem vulnerability assessment enjoys solving problem network security academic background master degree relevant coursework network security core competency siem stakeholder management vulnerability assessment penetration testing incident response backup network security professional experience cybersecurity analyst northwind software yr built maintained system using siem vulnerability assessment collaborated small team ship feature schedule,2,1
"OBJECTIVE
Software Engineer candidate with a strong foundation in junit, python, algorithms. Passionate about java and continuous learning.

ACADEMIC BACKGROUND
Masters degree, relevant coursework in algorithms.

SKILLS
git, rest api, junit, python, java, keras, sql, algorithms

PROFESSIONAL EXPERIENCE
Software Engineer, Vertex Digital (0.9 yrs)
- Automated workflows involving junit, reducing manual effort.
- Used python daily to support ongoing projects.","git, rest api, junit, python, java, keras, sql, algorithms",8,0.9,Masters,0,0,4,47.8,Software Engineer,objective software engineer candidate strong foundation junit python algorithm passionate java continuous learning academic background master degree relevant coursework algorithm skill git rest api junit python java kera sql algorithm professional experience software engineer vertex digital yr automated workflow involving junit reducing manual effort used python daily support ongoing project,2,1
"PROFESSIONAL SUMMARY
Results-driven AI Engineer with 2.2 years of practical exposure to tensorflow and git. Enjoys solving problems with computer vision.

ACADEMIC BACKGROUND
Bachelors degree, relevant coursework in python.

TECHNICAL SKILLS
sql, git, machine learning, docker, tensorflow, mysql, opencv, keras, computer vision, kubernetes, pytorch

PROFESSIONAL EXPERIENCE
AI Engineer, Quantum Analytics (2.2 yrs)
- Built and maintained systems using tensorflow and git.
- Collaborated with a small team to ship features on schedule.

PERSONAL PROJECTS
Automation Toolkit
Applied tensorflow to analyze data and git to build the final solution, presenting results to peers.

CERTIFICATIONS
Relevant certification related to python.","sql, git, machine learning, docker, tensorflow, mysql, opencv, keras, computer vision, kubernetes, pytorch",11,2.2,Bachelors,1,1,6,80.6,AI Engineer,professional summary result driven engineer year practical exposure tensorflow git enjoys solving problem computer vision academic background bachelor degree relevant coursework python technical skill sql git machine learning docker tensorflow mysql opencv kera computer vision kubernetes pytorch professional experience engineer quantum analytics yr built maintained system using tensorflow git collaborated small team ship feature schedule personal project automation toolkit applied tensorflow analyze data git build final solution presenting result peer certification relevant certification related python,1,4
"SUMMARY
Detail-oriented professional skilled in docker and ci/cd, seeking a Cloud Engineer role. Completed coursework and internships involving kubernetes and linux.

EDUCATION
PhD degree, relevant coursework in gcp.

TECHNICAL SKILLS
kubernetes, python, docker, ci/cd, ansible, networking, linux, azure

WORK EXPERIENCE
Cloud Engineer Intern, Quantum Analytics (1.8 yrs)
- Assisted senior engineers with tasks involving docker and kubernetes.
- Learned ci/cd on the job through mentorship.","kubernetes, python, docker, ci/cd, ansible, networking, linux, azure",8,1.8,PhD,0,0,4,47.8,Cloud Engineer,summary detail oriented professional skilled docker seeking cloud engineer role completed coursework internship involving kubernetes linux education phd degree relevant coursework gcp technical skill kubernetes python docker ansible networking linux azure work experience cloud engineer intern quantum analytics yr assisted senior engineer task involving docker kubernetes learned job mentorship,3,1
"PROFILE
Detail-oriented professional skilled in system design and junit, seeking a Software Engineer role. Completed coursework and internships involving python and data structures.

EDUCATION
Masters degree, relevant coursework in git.

CORE COMPETENCIES
data structures, data analysis, html, junit, python, system design

WORK EXPERIENCE
Software Engineer, Cascade Consulting (0.5 yrs)
- Automated workflows involving system design, reducing manual effort.
- Used junit daily to support ongoing projects.

PERSONAL PROJECTS
Data Insights Dashboard
Applied system design to analyze data and junit to build the final solution, presenting results to peers.

CERTIFICATES
Relevant certification related to sql.","data structures, data analysis, html, junit, python, system design",6,0.3,Masters,1,1,6,47.2,Software Engineer,profile detail oriented professional skilled system design junit seeking software engineer role completed coursework internship involving python data structure education master degree relevant coursework git core competency data structure data analysis html junit python system design work experience software engineer cascade consulting yr automated workflow involving system design reducing manual effort used junit daily support ongoing project personal project data insight dashboard applied system design analyze data junit build final solution presenting result peer certificate relevant certification related sql,2,4
"PROFILE
Business Analyst candidate with a strong foundation in agile, tableau, stakeholder management. Passionate about sql and continuous learning.

ACADEMIC BACKGROUND
PhD degree, relevant coursework in agile.

CORE COMPETENCIES
tableau, jira, python, requirements gathering, agile, sql, data analysis, power bi, stakeholder management, c++

PERSONAL PROJECTS
Recommendation Prototype
Built using agile and tableau. Focused on solving a practical problem and deploying a working demo.

Personal Portfolio System
Applied agile to analyze data and tableau to build the final solution, presenting results to peers.","tableau, jira, python, requirements gathering, agile, sql, data analysis, power bi, stakeholder management, c++",10,2.4,PhD,1,0,4,72.7,Business Analyst,profile business analyst candidate strong foundation agile tableau stakeholder management passionate sql continuous learning academic background phd degree relevant coursework agile core competency tableau jira python requirement gathering agile sql data analysis power stakeholder management personal project recommendation prototype built using agile tableau focused solving practical problem deploying working demo personal portfolio system applied agile analyze data tableau build final solution presenting result peer,3,0
"OBJECTIVE
Results-driven AI Engineer with 0.8 years of practical exposure to pytorch and computer vision. Enjoys solving problems with python.

ACADEMIC BACKGROUND
PhD degree, relevant coursework in sql.

SKILLS
pytorch, deep learning, opencv, javascript, python, computer vision

EXPERIENCE
AI Engineer, Quantum Analytics (0.8 yrs)
- Automated workflows involving pytorch, reducing manual effort.
- Used computer vision daily to support ongoing projects.

PERSONAL PROJECTS
Automation Toolkit
Applied pytorch to analyze data and computer vision to build the final solution, presenting results to peers.

Mini Analytics Engine
Built using pytorch and computer vision. Focused on solving a practical problem and deploying a working demo.

CERTIFICATES
Relevant certification related to keras.","pytorch, deep learning, opencv, javascript, python, computer vision",6,0.8,PhD,1,1,6,53.5,AI Engineer,objective result driven engineer year practical exposure pytorch computer vision enjoys solving problem python academic background phd degree relevant coursework sql skill pytorch deep learning opencv javascript python computer vision experience engineer quantum analytics yr automated workflow involving pytorch reducing manual effort used computer vision daily support ongoing project personal project automation toolkit applied pytorch analyze data computer vision build final solution presenting result peer mini analytics engine built using pytorch computer vision focused solving practical problem deploying working demo certificate relevant certification related kera,3,4
"PROFESSIONAL SUMMARY
Motivated Database Administrator with hands-on experience in mongodb, linux and sql. Built projects applying indexing to solve real-world problems.

EDUCATION
PhD degree, relevant coursework in indexing.

CORE COMPETENCIES
etl, indexing, mongodb, oracle, linux, sql

PROFESSIONAL EXPERIENCE
Database Administrator Intern, Acme Solutions (2.4 yrs)
- Assisted senior engineers with tasks involving mongodb and sql.
- Learned linux on the job through mentorship.

PERSONAL PROJECTS
Data Insights Dashboard
Applied mongodb to analyze data and linux to build the final solution, presenting results to peers.","etl, indexing, mongodb, oracle, linux, sql",6,2.4,PhD,1,0,5,65.9,Database Administrator,professional summary motivated database administrator hand experience mongodb linux sql built project applying indexing solve real world problem education phd degree relevant coursework indexing core competency etl indexing mongodb oracle linux sql professional experience database administrator intern acme solution yr assisted senior engineer task involving mongodb sql learned linux job mentorship personal project data insight dashboard applied mongodb analyze data linux build final solution presenting result peer,3,0
"SUMMARY
Results-driven Business Analyst with 0.2 years of practical exposure to agile and stakeholder management. Enjoys solving problems with data analysis.

EDUCATION
Bachelors degree, relevant coursework in power bi.

TECHNICAL SKILLS
jira, agile, redux, jenkins, sql, requirements gathering, data analysis, html, power bi, stakeholder management, java

EXPERIENCE
Business Analyst, Quantum Analytics (0.5 yrs)
- Built and maintained systems using agile and stakeholder management.
- Collaborated with a small team to ship features on schedule.

ACADEMIC PROJECTS
Campus Utility App
Built using agile and stakeholder management. Focused on solving a practical problem and deploying a working demo.","jira, agile, redux, jenkins, sql, requirements gathering, data analysis, html, power bi, stakeholder management, java",11,0.2,Bachelors,1,0,5,71.0,Business Analyst,summary result driven business analyst year practical exposure agile stakeholder management enjoys solving problem data analysis education bachelor degree relevant coursework power technical skill jira agile redux jenkins sql requirement gathering data analysis html power stakeholder management java experience business analyst quantum analytics yr built maintained system using agile stakeholder management collaborated small team ship feature schedule academic project campus utility app built using agile stakeholder management focused solving practical problem deploying working demo,1,0
"ACADEMIC BACKGROUND
Diploma degree, relevant coursework in matplotlib.

SKILLS
machine learning, scikit-learn, python, r, node.js, power bi, numpy, excel, pandas, sql

EXPERIENCE
Data Scientist, Skyline Systems (3.1 yrs)
- Built and maintained systems using scikit-learn and sql.
- Collaborated with a small team to ship features on schedule.

ACADEMIC PROJECTS
Campus Utility App
Applied scikit-learn to analyze data and sql to build the final solution, presenting results to peers.

Mini Analytics Engine
Applied scikit-learn to analyze data and sql to build the final solution, presenting results to peers.

CERTIFICATIONS
Relevant certification related to r.","machine learning, scikit-learn, python, r, node.js, power bi, numpy, excel, pandas, sql",10,3.1,Diploma,1,1,5,68.0,Data Scientist,academic background diploma degree relevant coursework matplotlib skill machine learning scikit learn python node power numpy excel panda sql experience data scientist skyline system yr built maintained system using scikit learn sql collaborated small team ship feature schedule academic project campus utility app applied scikit learn analyze data sql build final solution presenting result peer mini analytics engine applied scikit learn analyze data sql build final solution presenting result peer certification relevant certification related,0,4
"OBJECTIVE
Database Administrator candidate with a strong foundation in sql, mongodb, linux. Passionate about query optimization and continuous learning.

ACADEMIC BACKGROUND
Diploma degree, relevant coursework in sql.

CORE COMPETENCIES
agile, mongodb, linux, data structures, postgresql, sql, oracle, flask, mysql, backup, query optimization, prometheus, etl

PROFESSIONAL EXPERIENCE
Database Administrator, Skyline Systems (6.2 yrs)
- Automated workflows involving sql, reducing manual effort.
- Used mongodb daily to support ongoing projects.

PROJECTS
Mini Analytics Engine
Applied sql to analyze data and mongodb to build the final solution, presenting results to peers.","agile, mongodb, linux, data structures, postgresql, sql, oracle, flask, mysql, backup, query optimization, prometheus, etl",13,6.2,Diploma,1,0,5,82.1,Database Administrator,objective database administrator candidate strong foundation sql mongodb linux passionate query optimization continuous learning academic background diploma degree relevant coursework sql core competency agile mongodb linux data structure postgresql sql oracle flask mysql backup query optimization prometheus etl professional experience database administrator skyline system yr automated workflow involving sql reducing manual effort used mongodb daily support ongoing project project mini analytics engine applied sql analyze data mongodb build final solution presenting result peer,0,3
